LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
339,DORCHESTER AVE,42.33014012,-71.05695787,C6,South Boston
340,FARRINGTON AVE,42.35429484,-71.13190433,D14,Brighton
341,HUNTINGTON AVE,42.34221544,-71.08577075,D4,South End
342,ORKNEY RD,42.33691995,-71.14960316,D14,Brighton
343,BROCK ST,42.35087795,-71.16036469,D14,Brighton
344,BLAKEVILLE ST,42.30470597,-71.07091547,C11,Dorchester
345,SOUTH ST,42.28878014,-71.13438128,E5,West Roxbury
347,DR. MICHAEL GAVIN WAY,42.32614559,-71.05349144,C6,South Boston
349,NORTON ST,42.30460308,-71.06691869,C11,Dorchester
350,CAMBRIDGE ST,42.35343384,-71.13786355,D14,Brighton
352,INTERVALE ST,42.31226098,-71.08179001,B2,Roxbury
353,PARKER ST,42.32469443,-71.10087902,E13,Jamaica Plain
354,COURT ST,42.359254,-71.059477,A1,Downtown
356,MERLIN ST,42.29504764,-71.07486557,B3,Mattapan
357,DORCHESTER AVE,42.33980295,-71.05718881,C6,South Boston
358,HARVARD ST,42.29260629,-71.08989828,B3,Mattapan
359,PLEASANT ST,42.31646016,-71.05947087,C11,Dorchester
360,SOUTH ST,42.3399985,-71.1567633,D14,Brighton
361,DUDLEY ST,42.32375515,-71.07391884,B2,Roxbury
362,BRIGHTON AVE,42.35301119,-71.13261451,D14,Brighton
363,MARION ST,42.37575891,-71.03536688,A7,East Boston
364,BOYLSTON ST,42.34489594,-71.09659186,D4,South End
367,MAVERICK ST,42.36848841,-71.03513563,A7,East Boston
368,RIVER ST,42.27014779,-71.08956535,B3,Mattapan
369,CAUSEWAY ST,42.3655824,-71.0608703,A1,Downtown
370,L ST,42.334165,-71.03533745,C6,South Boston
371,ADAMS ST,42.29636106,-71.05644948,C11,Dorchester
372,BROOKVIEW ST,42.2887411,-71.09117797,B3,Mattapan
373,MELVILLE AVE,42.29380964,-71.07001148,C11,Dorchester
374,BRIGHTON AVE,42.3531512,-71.13385986,D14,Brighton
376,BOWDOIN ST,42.35832299,-71.06278436,A1,Downtown
377,RIDGECREST TER,42.26235312,-71.15350513,E5,West Roxbury
378,DUNBAR AVE,42.28644823,-71.07117585,C11,Dorchester
379,WASHINGTON ST,42.34934252,-71.16386818,D14,Brighton
380,WALDECK ST,42.29786721,-71.06651934,C11,Dorchester
382,HYDE PARK AVE,42.29182835,-71.11780085,E13,Jamaica Plain
385,MANCHESTER ST,42.27404039,-71.07630093,B3,Mattapan
387,BRIGHTON AVE,42.35283155,-71.13114273,D14,Brighton
388,COMMONWEALTH AVE,42.3498137,-71.10581404,D4,South End
390,BOYLSTON ST,42.34932471,-71.08014801,D4,South End
391,MARSHFIELD ST,42.32263156,-71.06979845,B2,Roxbury
392,BAKERSFIELD ST,42.31674327,-71.06104741,C11,Dorchester
393,FIDELIS WAY,42.34531664,-71.14298078,D14,Brighton
394,WOLCOTT SQ,42.23730137,-71.13232346,E18,Hyde Park
395,CLEARWAY ST,42.34522836,-71.08537838,D4,South End
396,COLUMBUS AVE,42.343971,-71.077475,D4,South End
397,WASHINGTON ST,42.2956968,-71.07214055,C11,Dorchester
398,GLENDOWER RD,42.27562519,-71.13142204,E5,West Roxbury
399,E FOURTH ST,42.33464183,-71.04250708,C6,South Boston
400,ROBINWOOD AVE,42.31624019,-71.11267011,E13,Jamaica Plain
401,ADAMS ST,42.29681873,-71.05656121,C11,Dorchester
402,BABSON ST,42.27595146,-71.09248845,B3,Mattapan
403,ROBBART LN,42.24635332,-71.1136693,E18,Hyde Park
